Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1629739050.6201, 2.553, 0.722, 1.419, 1.433, 0.69, 7.141, 3.101, 2.604, 3.019, 1.77, 1.542, 0.91, 1.552, 1.413, 0.508, 1.976, 2.031, 1.056, 1.199, 0.528, 2.522, 0.903, 1.54, 1.67, 0.749
1629739050.7461, 3.05, 0.775, 1.156, 1.545, 0.637, 8.311, 3.368, 1.945, 3.147, 1.66, 1.794, 1.117, 1.469, 1.361, 0.44, 2.813, 2.265, 0.993, 1.279, 0.417, 2.464, 0.895, 1.172, 1.703, 0.676
1629739050.8718, 3.4, 0.83, 0.993, 1.647, 0.571, 8.832, 3.471, 1.502, 3.263, 1.566, 2.171, 1.401, 1.434, 1.284, 0.382, 3.567, 2.487, 0.936, 1.338, 0.34, 2.425, 0.966, 0.929, 1.732, 0.601
1629739050.9981, 3.523, 0.852, 0.948, 1.734, 0.505, 8.521, 3.401, 1.343, 3.361, 1.494, 2.605, 1.686, 1.409, 1.219, 0.352, 4.033, 2.652, 0.905, 1.376, 0.312, 2.338, 1.059, 0.841, 1.768, 0.542
1629739051.1243, 3.449, 0.848, 0.995, 1.782, 0.45, 7.488, 3.212, 1.439, 3.418, 1.449, 3.091, 1.934, 1.347, 1.181, 0.355, 4.144, 2.739, 0.902, 1.39, 0.336, 2.196, 1.114, 0.872, 1.795, 0.509
1629739051.2504, 3.273, 0.835, 1.095, 1.77, 0.422, 6.027, 2.981, 1.713, 3.385, 1.44, 3.601, 2.116, 1.239, 1.155, 0.384, 3.917, 2.744, 0.911, 1.381, 0.404, 2.032, 1.107, 0.959, 1.784, 0.513
1629739051.3764, 3.053, 0.863, 1.2, 1.7, 0.431, 4.509, 2.776, 2.049, 3.228, 1.471, 4.044, 2.247, 1.105, 1.119, 0.425, 3.453, 2.719, 0.961, 1.361, 0.497, 1.887, 1.123, 1.04, 1.718, 0.56
1629739051.5021, 2.809, 0.98, 1.289, 1.608, 0.477, 3.241, 2.644, 2.325, 2.96, 1.54, 4.304, 2.345, 1.009, 1.077, 0.463, 2.896, 2.744, 1.12, 1.358, 0.593, 1.819, 1.288, 1.088, 1.612, 0.648
1629739051.6282, 2.509, 1.193, 1.352, 1.548, 0.547, 2.329, 2.585, 2.451, 2.628, 1.631, 4.27, 2.418, 0.994, 1.056, 0.491, 2.38, 2.88, 1.429, 1.404, 0.671, 1.89, 1.678, 1.105, 1.513, 0.762
1629739051.7546, 2.145, 1.458, 1.392, 1.574, 0.618, 1.716, 2.568, 2.428, 2.288, 1.73, 3.943, 2.461, 1.058, 1.092, 0.506, 2.007, 3.096, 1.85, 1.51, 0.718, 2.125, 2.252, 1.121, 1.483, 0.87
1629739051.8807, 1.76, 1.693, 1.411, 1.697, 0.67, 1.311, 2.534, 2.315, 1.988, 1.823, 3.377, 2.443, 1.146, 1.196, 0.513, 1.806, 3.277, 2.265, 1.656, 0.727, 2.499, 2.857, 1.172, 1.559, 0.942
1629739052.0069, 1.453, 1.81, 1.399, 1.886, 0.698, 1.042, 2.448, 2.216, 1.774, 1.908, 2.756, 2.371, 1.21, 1.359, 0.521, 1.788, 3.29, 2.552, 1.801, 0.714, 2.955, 3.287, 1.277, 1.73, 0.966
1629739052.1326, 1.299, 1.78, 1.368, 2.079, 0.712, 0.913, 2.292, 2.179, 1.674, 1.985, 2.264, 2.296, 1.242, 1.558, 0.54, 1.924, 3.081, 2.632, 1.909, 0.702, 3.396, 3.399, 1.439, 1.944, 0.951
1629739052.2587, 1.308, 1.667, 1.328, 2.22, 0.725, 0.958, 2.103, 2.156, 1.714, 2.044, 2.03, 2.279, 1.256, 1.758, 0.58, 2.143, 2.711, 2.493, 1.968, 0.717, 3.748, 3.228, 1.618, 2.138, 0.918
1629739052.3849, 1.519, 1.631, 1.317, 2.285, 0.746, 1.137, 1.938, 2.068, 1.899, 2.065, 2.073, 2.343, 1.281, 1.938, 0.64, 2.344, 2.315, 2.231, 2.008, 0.772, 3.97, 2.964, 1.785, 2.273, 0.891
1629739052.5112, 2.04, 1.824, 1.411, 2.288, 0.771, 1.39, 1.848, 1.869, 2.188, 2.033, 2.308, 2.446, 1.34, 2.088, 0.711, 2.431, 2.007, 1.983, 2.08, 0.857, 4.09, 2.822, 1.936, 2.351, 0.877
1629739052.6372, 3.004, 2.281, 1.651, 2.278, 0.785, 1.636, 1.876, 1.594, 2.502, 1.952, 2.603, 2.501, 1.421, 2.209, 0.776, 2.342, 1.83, 1.833, 2.227, 0.95, 4.204, 2.911, 2.078, 2.409, 0.871
1629739052.7631, 4.388, 2.874, 2.034, 2.299, 0.78, 1.815, 2.058, 1.354, 2.74, 1.843, 2.893, 2.393, 1.488, 2.296, 0.817, 2.126, 1.748, 1.78, 2.44, 1.026, 4.326, 3.174, 2.229, 2.474, 0.857
1629739052.8891, 5.962, 3.374, 2.503, 2.354, 0.754, 1.949, 2.428, 1.265, 2.814, 1.74, 3.137, 2.09, 1.534, 2.342, 0.826, 1.869, 1.688, 1.755, 2.659, 1.068, 4.475, 3.43, 2.401, 2.541, 0.826
1629739053.0154, 7.32, 3.54, 2.966, 2.402, 0.722, 2.087, 2.972, 1.387, 2.673, 1.683, 3.332, 1.67, 1.593, 2.335, 0.809, 1.661, 1.601, 1.682, 2.791, 1.072, 4.567, 3.463, 2.58, 2.577, 0.781
1629739053.1417, 8.075, 3.3, 3.342, 2.383, 0.704, 2.281, 3.622, 1.69, 2.345, 1.696, 3.504, 1.286, 1.724, 2.279, 0.783, 1.549, 1.5, 1.533, 2.754, 1.046, 4.477, 3.196, 2.744, 2.541, 0.739
1629739053.2679, 7.992, 2.803, 3.567, 2.258, 0.721, 2.526, 4.264, 2.085, 1.923, 1.773, 3.648, 1.07, 1.952, 2.182, 0.774, 1.525, 1.449, 1.323, 2.529, 1.011, 4.124, 2.75, 2.837, 2.411, 0.725
1629739053.394, 7.091, 2.33, 3.625, 2.035, 0.774, 2.756, 4.751, 2.479, 1.548, 1.875, 3.735, 1.065, 2.259, 2.061, 0.8, 1.623, 1.485, 1.1, 2.163, 0.981, 3.537, 2.345, 2.823, 2.203, 0.745
1629739053.5202, 5.642, 2.134, 3.547, 1.756, 0.843, 2.884, 4.941, 2.752, 1.335, 1.95, 3.756, 1.209, 2.557, 1.932, 0.855, 1.825, 1.6, 0.926, 1.748, 0.958, 2.839, 2.158, 2.698, 1.957, 0.789
