Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1628362106.478, 3.609, 2.109, 1.614, 0.828, 0.573, 0.995, 0.833, 2.037, 0.803, 0.57, 1.197, 1.596, 2.119, 0.899, 0.552, 1.063, 2.187, 1.473, 0.844, 0.645, 1.459, 3.201, 1.767, 0.871, 1.053
1628362106.6038, 3.582, 1.843, 1.288, 0.78, 0.507, 1.022, 0.561, 1.722, 0.867, 0.488, 1.444, 1.465, 1.843, 0.894, 0.574, 1.22, 1.641, 1.234, 0.811, 0.634, 1.579, 2.745, 1.637, 0.868, 1.111
1628362106.7299, 3.526, 1.562, 1.183, 0.77, 0.47, 1.386, 0.46, 1.462, 0.925, 0.41, 1.755, 1.3, 1.611, 0.925, 0.592, 1.462, 1.138, 1.092, 0.806, 0.643, 1.9, 2.309, 1.619, 0.872, 1.12
1628362106.8562, 3.297, 1.302, 1.252, 0.783, 0.458, 2.024, 0.501, 1.34, 0.962, 0.349, 2.083, 1.193, 1.464, 0.943, 0.598, 1.703, 0.77, 1.002, 0.804, 0.658, 2.246, 1.937, 1.648, 0.859, 1.07
1628362106.9823, 2.937, 1.097, 1.408, 0.793, 0.452, 2.818, 0.622, 1.374, 0.974, 0.31, 2.376, 1.212, 1.421, 0.913, 0.581, 1.863, 0.548, 0.947, 0.786, 0.664, 2.516, 1.613, 1.659, 0.825, 0.968
1628362107.1082, 2.449, 0.951, 1.559, 0.793, 0.439, 3.524, 0.752, 1.527, 0.972, 0.293, 2.627, 1.359, 1.496, 0.86, 0.536, 1.926, 0.433, 0.955, 0.756, 0.653, 2.723, 1.291, 1.606, 0.799, 0.836
1628362107.2343, 2.018, 0.859, 1.648, 0.795, 0.416, 3.937, 0.854, 1.726, 0.972, 0.299, 2.908, 1.573, 1.701, 0.863, 0.471, 1.99, 0.378, 1.118, 0.756, 0.631, 3.106, 0.979, 1.511, 0.832, 0.705
1628362107.3604, 1.758, 0.826, 1.66, 0.822, 0.392, 3.92, 0.903, 1.882, 0.986, 0.33, 3.327, 1.781, 2.033, 0.998, 0.403, 2.203, 0.396, 1.511, 0.852, 0.608, 3.911, 0.749, 1.439, 0.962, 0.604
1628362107.4866, 1.774, 0.849, 1.598, 0.89, 0.378, 3.542, 0.894, 1.917, 1.01, 0.386, 3.913, 1.894, 2.416, 1.283, 0.356, 2.661, 0.522, 2.082, 1.076, 0.589, 5.271, 0.666, 1.439, 1.188, 0.553
1628362107.6128, 2.041, 0.912, 1.479, 0.989, 0.381, 2.966, 0.85, 1.795, 1.021, 0.46, 4.598, 1.863, 2.72, 1.643, 0.344, 3.299, 0.77, 2.664, 1.406, 0.576, 6.948, 0.755, 1.509, 1.455, 0.556
