MODE                                               SCENARIO                                                                                                                                                                                                                                                         ELECTRODE                                          FREQUENCY                                          AVG                                     SUM                                     STDEV                  STDEVP                 VAR                    VARP                   TANAVG                 TANSUM                 LOGAVG                 LOGSUM                 COSAVG                 COSSUM                 SINAVG                 SINSUM                 COTAVG                 COTSUM
-------------------------------------------------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------- -------------------------------------------------- --------------------------------------- --------------------------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ----------------------
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   AF3                                                ALPHA                                              10.034792                               106208.244                              8.06993885077892       8.06955760883465       65.123913055311        65.1177600023012       0.698939759702799      0.447964711293204      2.30605825457957       11.5731570118958       -0.819639975146317     -0.912615287227686     -0.572878967271574     -0.408819443664715     1.43073846653854       2.23231869562483
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   AF3                                                BETA_H                                             1.302703                                13787.813                               0.862087696386855      0.862046969437671      0.743195196261595      0.743124977516672      3.64024876074174       -0.74013352976873      0.264441336628072      9.53154036502665       0.264893356820325      -0.803790575341931     0.964277713893907      0.594912355722662      0.27470650104589       -1.35110754989369
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   AF3                                                BETA_L                                             2.854088                                30207.674                               2.14704597035903       2.14694453910964       4.60980639883496       4.6093708540127        -0.295697245557333     3.12008016776445       1.0487523524966        10.3158512770438       -0.958954441257833     -0.30521157028817      0.283560186894912      -0.952284567428366     -3.38183738612509      0.32050458521279
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   AF3                                                GAMMA                                              0.644648                                6822.956                                0.487904374256436      0.487881324563532      0.238050678418564      0.238028186857867      0.751793561061443      -0.659814234922278     -0.439050847588802     8.82804808801843       0.79931133928311       0.834680684042789      0.600917118156441      -0.550734196946096     1.33015238729648       -1.51557809315495
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   AF3                                                THETA                                              56.568721                               598723.344                              53.1992661296817       53.1967528774715       2830.1619167367        2829.89451670678       0.0200559238337146     -5.28872806167836      4.03545619994268       13.3025549073008       0.999798940613163      0.185789395410937      0.0200518914019661     -0.98258958907208      49.8605802600313       -0.189081379934413
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   AF4                                                ALPHA                                              8.890546                                94097.548                               10.5024842458031       10.5019880849786       110.302175333342       110.291753737033       -0.591615965209894     0.633712097272076      2.18498846496268       11.4520872678482       -0.860659953426471     0.844674428231147      0.509180169063904      0.535280403426452      -1.69028569005101      1.57800364598478
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   AF4                                                BETA_H                                             1.386433                                14674.013                               0.886372343613443      0.886330469403257      0.785655931522788      0.785581700992599      5.36247807435675       -0.383595320768103     0.326734261790337      9.59383338519422       0.183320687115602      -0.933664339619035     0.983053165233429      0.358149271845903      0.186480948944477      -2.60691396860009
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   AF4                                                BETA_L                                             2.899029                                30683.329                               2.5110410640484        2.5109224368574        6.30532722533733       6.30473148391392       -0.247435595646669     -0.693644249928413     1.06437585333895       10.3314747567655       -0.970725396357881     -0.821677889583515     0.240192016657161      0.569952143402918      -4.04145570642945      -1.44166119751329
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   AF4                                                GAMMA                                              0.662255                                7009.308                                0.436123365818693      0.436102762376337      0.190203590213025      0.190185619352272      0.779724527801683      0.440337790983419      -0.412104600839584     8.85499425903605       0.788607645603633      -0.915201034208681     0.61489672408909       -0.402997601709192     1.2825042234074        2.27098382304792
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   AF4                                                THETA                                              49.889334                               528028.719                              64.6452406154695       64.6421866298476       4179.00713423195       4178.61229228805       -0.394953577990574     -0.930546167266934     3.90980723241523       13.1769059532547       0.930086359946365      -0.732072235095806     -0.367340935701046     0.681227012530941      -2.53194313389374      -1.07463770759172
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   Pz                                                 ALPHA                                              2.056943                                21770.689                               1.80472946445328       1.80464420500056       3.25704843986582       3.2567407066421        -1.89233139644804      -0.610479463929645     0.721220900029227      9.98831980278611       -0.467222485786538     0.853521623491834      0.884139778980365      -0.521057423161655     -0.528448664899302     -1.63805673914568
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   Pz                                                 BETA_H                                             1.108910                                11736.711                               0.783555513303871      0.783518496390502      0.613959242428893      0.613901234186033      2.00883755101059       -0.28663839065566      0.103377550882084      9.37047690080984       0.445637563964624      0.961288943188715      0.895213472633023      -0.275542315630693     0.49780033208605       -3.48871621038825
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   Pz                                                 BETA_L                                             1.669043                                17665.160                               1.45815269470619       1.45808380831453       2.12620928107893       2.126008392069         -10.1456917120563      -0.0154923746896505    0.512250408278311      9.77934961721048       -0.0980886966250058    -0.999880014761379     0.995177676394727      0.0154905158333765     -0.098564004148843     -64.5478837190816
POW                                                ClassicalMusic                                                                                                                                                                                                                                                   Pz                                                 GAMMA                                              0.612418                                6481.834                                0.626264679998351      0.626235093855427      0.392207449413437      0.392170392776116      0.702524125105619      0.891960594825176      -0.490340223076675     8.77675877399375       0.818260429550062      -0.746269965324791     0.574847692378205      -0.665643402171264     1.42343866105617       1.12112576026523
