ClassicalMusic,AF3,ALPHA,8.899
ClassicalMusic,AF3,BETA_L,3.201
ClassicalMusic,AF3,BETA_H,1.471
ClassicalMusic,AF3,GAMMA,0.252
ClassicalMusic,AF4,THETA,30.761
ClassicalMusic,AF4,ALPHA,9.534
ClassicalMusic,AF4,BETA_L,6.355
ClassicalMusic,AF4,BETA_H,1.431
ClassicalMusic,AF4,GAMMA,0.291
ClassicalMusic,T7,THETA,2.445
ClassicalMusic,T7,ALPHA,7.122
ClassicalMusic,T7,BETA_L,9.169
ClassicalMusic,T7,BETA_H,1.850
ClassicalMusic,T7,GAMMA,0.715
ClassicalMusic,T8,THETA,5.087
ClassicalMusic,T8,ALPHA,2.483
ClassicalMusic,T8,BETA_L,12.424
ClassicalMusic,T8,BETA_H,2.447
ClassicalMusic,T8,GAMMA,0.281
ClassicalMusic,Pz,THETA,1.047
ClassicalMusic,Pz,ALPHA,3.399
ClassicalMusic,Pz,BETA_L,1.843
ClassicalMusic,Pz,BETA_H,0.702
ClassicalMusic,Pz,GAMMA,0.780
ClassicalMusic,AF3,THETA,49.800
ClassicalMusic,AF3,ALPHA,12.961
ClassicalMusic,AF3,BETA_L,3.222
ClassicalMusic,AF3,BETA_H,1.500
ClassicalMusic,AF3,GAMMA,0.259
ClassicalMusic,AF4,THETA,40.856
ClassicalMusic,AF4,ALPHA,13.809
ClassicalMusic,AF4,BETA_L,5.661
ClassicalMusic,AF4,BETA_H,1.299
ClassicalMusic,AF4,GAMMA,0.307
ClassicalMusic,T7,THETA,2.373
ClassicalMusic,T7,ALPHA,8.345
ClassicalMusic,T7,BETA_L,8.892
ClassicalMusic,T7,BETA_H,1.716
ClassicalMusic,T7,GAMMA,0.668
ClassicalMusic,T8,THETA,6.604
ClassicalMusic,T8,ALPHA,2.212
ClassicalMusic,T8,BETA_L,10.135
ClassicalMusic,T8,BETA_H,2.446
ClassicalMusic,T8,GAMMA,0.306
ClassicalMusic,Pz,THETA,1.114
ClassicalMusic,Pz,ALPHA,3.256
ClassicalMusic,Pz,BETA_L,1.695
ClassicalMusic,Pz,BETA_H,0.740
ClassicalMusic,Pz,GAMMA,0.863
ClassicalMusic,AF3,THETA,60.045
ClassicalMusic,AF3,ALPHA,17.012
ClassicalMusic,AF3,BETA_L,3.167
ClassicalMusic,AF3,BETA_H,1.492
ClassicalMusic,AF3,GAMMA,0.269
ClassicalMusic,AF4,THETA,48.981
ClassicalMusic,AF4,ALPHA,17.774
ClassicalMusic,AF4,BETA_L,4.778
ClassicalMusic,AF4,BETA_H,1.139
ClassicalMusic,AF4,GAMMA,0.320
ClassicalMusic,T7,THETA,2.225
ClassicalMusic,T7,ALPHA,8.919
ClassicalMusic,T7,BETA_L,8.110
ClassicalMusic,T7,BETA_H,1.637
ClassicalMusic,T7,GAMMA,0.647
ClassicalMusic,T8,THETA,7.726
ClassicalMusic,T8,ALPHA,1.946
ClassicalMusic,T8,BETA_L,7.790
ClassicalMusic,T8,BETA_H,2.304
ClassicalMusic,T8,GAMMA,0.330
ClassicalMusic,Pz,THETA,1.206
ClassicalMusic,Pz,ALPHA,3.015
ClassicalMusic,Pz,BETA_L,1.484
ClassicalMusic,Pz,BETA_H,0.750
ClassicalMusic,Pz,GAMMA,0.879
ClassicalMusic,AF3,THETA,65.305
ClassicalMusic,AF3,ALPHA,19.923
ClassicalMusic,AF3,BETA_L,3.059
ClassicalMusic,AF3,BETA_H,1.435
ClassicalMusic,AF3,GAMMA,0.284
ClassicalMusic,AF4,THETA,53.172
ClassicalMusic,AF4,ALPHA,20.280
ClassicalMusic,AF4,BETA_L,3.900
ClassicalMusic,AF4,BETA_H,0.981
ClassicalMusic,AF4,GAMMA,0.331
ClassicalMusic,T7,THETA,2.045
ClassicalMusic,T7,ALPHA,8.601
ClassicalMusic,T7,BETA_L,6.906
ClassicalMusic,T7,BETA_H,1.583
ClassicalMusic,T7,GAMMA,0.646
ClassicalMusic,T8,THETA,7.996
ClassicalMusic,T8,ALPHA,1.757
ClassicalMusic,T8,BETA_L,5.700
ClassicalMusic,T8,BETA_H,2.011
ClassicalMusic,T8,GAMMA,0.347
ClassicalMusic,Pz,THETA,1.296
ClassicalMusic,Pz,ALPHA,2.689
ClassicalMusic,Pz,BETA_L,1.228
ClassicalMusic,Pz,BETA_H,0.723
ClassicalMusic,Pz,GAMMA,0.815
ClassicalMusic,AF3,THETA,64.850
ClassicalMusic,AF3,ALPHA,20.779
ClassicalMusic,AF3,BETA_L,2.918
ClassicalMusic,AF3,BETA_H,1.350
ClassicalMusic,AF3,GAMMA,0.306
ClassicalMusic,AF4,THETA,52.859
ClassicalMusic,AF4,ALPHA,20.554
ClassicalMusic,AF4,BETA_L,3.184
ClassicalMusic,AF4,BETA_H,0.861
ClassicalMusic,AF4,GAMMA,0.341
ClassicalMusic,T7,THETA,1.885
ClassicalMusic,T7,ALPHA,7.395
ClassicalMusic,T7,BETA_L,5.415
ClassicalMusic,T7,BETA_H,1.494
ClassicalMusic,T7,GAMMA,0.645
ClassicalMusic,T8,THETA,7.181
ClassicalMusic,T8,ALPHA,1.638
ClassicalMusic,T8,BETA_L,3.990
ClassicalMusic,T8,BETA_H,1.610
ClassicalMusic,T8,GAMMA,0.355
ClassicalMusic,Pz,THETA,1.381
ClassicalMusic,Pz,ALPHA,2.282
ClassicalMusic,Pz,BETA_L,0.950
ClassicalMusic,Pz,BETA_H,0.664
ClassicalMusic,Pz,GAMMA,0.691
ClassicalMusic,AF3,THETA,59.195
ClassicalMusic,AF3,ALPHA,19.296
ClassicalMusic,AF3,BETA_L,2.760
ClassicalMusic,AF3,BETA_H,1.279
ClassicalMusic,AF3,GAMMA,0.334
ClassicalMusic,AF4,THETA,48.519
ClassicalMusic,AF4,ALPHA,18.534
ClassicalMusic,AF4,BETA_L,2.724
ClassicalMusic,AF4,BETA_H,0.817
ClassicalMusic,AF4,GAMMA,0.349
ClassicalMusic,T7,THETA,1.748
ClassicalMusic,T7,ALPHA,5.596
ClassicalMusic,T7,BETA_L,3.833
ClassicalMusic,T7,BETA_H,1.329
ClassicalMusic,T7,GAMMA,0.628
ClassicalMusic,T8,THETA,5.592
ClassicalMusic,T8,ALPHA,1.535
ClassicalMusic,T8,BETA_L,2.687
ClassicalMusic,T8,BETA_H,1.190
ClassicalMusic,T8,GAMMA,0.354
ClassicalMusic,Pz,THETA,1.447
ClassicalMusic,Pz,ALPHA,1.827
