Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1628959906.6003, 173.32, 26.163, 4.406, 1.13, 0.588, 1.221, 2.245, 4.044, 3.593, 5.765, 2.649, 1.47, 0.748, 1.21, 0.428, 2.393, 1.323, 0.823, 0.867, 0.603, 240.428, 37.837, 3.81, 1.14, 0.538
1628959906.7267, 178.99, 29.538, 5.661, 1.213, 0.667, 1.412, 2.167, 3.922, 3.447, 5.804, 2.847, 1.355, 0.704, 1.268, 0.455, 2.582, 1.24, 0.943, 0.877, 0.643, 248.461, 41.65, 5.103, 1.201, 0.602
1628959906.8527, 163.002, 29.886, 6.604, 1.283, 0.732, 1.8, 2.053, 3.785, 3.352, 5.8, 2.927, 1.224, 0.736, 1.311, 0.467, 2.551, 1.148, 1.079, 0.849, 0.654, 225.387, 40.45, 6.205, 1.239, 0.673
1628959906.9788, 131.304, 27.108, 6.939, 1.34, 0.771, 2.356, 1.93, 3.65, 3.307, 5.761, 2.879, 1.107, 0.836, 1.381, 0.464, 2.336, 1.084, 1.195, 0.814, 0.631, 179.449, 34.664, 6.728, 1.269, 0.737
1628959907.1053, 93.987, 22.091, 6.537, 1.378, 0.788, 2.944, 1.817, 3.494, 3.253, 5.696, 2.671, 1.053, 0.983, 1.502, 0.453, 1.965, 1.115, 1.267, 0.81, 0.58, 125.214, 26.24, 6.464, 1.309, 0.778
1628959907.2315, 60.368, 16.224, 5.513, 1.383, 0.791, 3.402, 1.722, 3.291, 3.129, 5.599, 2.316, 1.092, 1.141, 1.654, 0.443, 1.554, 1.317, 1.304, 0.86, 0.516, 76.755, 17.592, 5.487, 1.371, 0.788
1628959907.3572, 35.606, 10.849, 4.169, 1.343, 0.791, 3.586, 1.692, 3.043, 2.907, 5.437, 1.851, 1.214, 1.268, 1.787, 0.439, 1.237, 1.725, 1.344, 0.959, 0.458, 42.059, 10.618, 4.114, 1.45, 0.766
1628959907.4831, 19.697, 6.798, 2.866, 1.253, 0.792, 3.52, 1.778, 2.79, 2.613, 5.173, 1.364, 1.368, 1.325, 1.842, 0.44, 1.075, 2.295, 1.414, 1.08, 0.417, 21.392, 6.062, 2.76, 1.522, 0.719
1628959907.6093, 9.996, 4.278, 1.88, 1.116, 0.788, 3.222, 1.964, 2.609, 2.315, 4.805, 0.966, 1.479, 1.299, 1.786, 0.442, 1.026, 2.891, 1.522, 1.177, 0.398, 10.315, 3.634, 1.745, 1.556, 0.657
1628959907.7355, 4.363, 3.1, 1.29, 0.955, 0.769, 2.865, 2.165, 2.572, 2.114, 4.378, 0.727, 1.494, 1.194, 1.634, 0.437, 1, 3.336, 1.633, 1.215, 0.398, 4.597, 2.675, 1.164, 1.525, 0.588
1628959907.8614, 2.301, 2.673, 1.016, 0.8, 0.726, 2.512, 2.277, 2.681, 2.096, 3.962, 0.65, 1.395, 1.033, 1.445, 0.425, 0.948, 3.483, 1.716, 1.195, 0.412, 2.574, 2.418, 0.914, 1.428, 0.524
1628959907.9873, 2.174, 2.409, 0.921, 0.685, 0.665, 2.241, 2.238, 2.858, 2.33, 3.605, 0.694, 1.219, 0.86, 1.292, 0.413, 0.861, 3.281, 1.803, 1.165, 0.437, 2.479, 2.285, 0.816, 1.291, 0.473
1628959908.1133, 2.304, 2.037, 0.945, 0.632, 0.602, 2.041, 2.057, 2.971, 2.826, 3.309, 0.822, 1.044, 0.714, 1.212, 0.411, 0.766, 2.816, 1.959, 1.181, 0.47, 2.845, 2.09, 0.799, 1.162, 0.446
1628959908.2394, 2.228, 1.693, 1.083, 0.636, 0.553, 1.859, 1.817, 2.885, 3.487, 3.061, 1.066, 0.952, 0.592, 1.195, 0.425, 0.785, 2.258, 2.208, 1.273, 0.503, 3.918, 2.03, 0.867, 1.075, 0.445
1628959908.3661, 2.051, 1.553, 1.288, 0.669, 0.526, 1.773, 1.651, 2.555, 4.132, 2.869, 1.461, 0.991, 0.493, 1.199, 0.448, 1.033, 1.778, 2.508, 1.427, 0.527, 6.326, 2.287, 1.021, 1.037, 0.465
1628959908.4922, 1.9, 1.715, 1.5, 0.701, 0.515, 1.987, 1.664, 2.064, 4.574, 2.761, 2.038, 1.171, 0.431, 1.182, 0.466, 1.551, 1.473, 2.767, 1.584, 0.531, 10.183, 2.893, 1.237, 1.034, 0.493
1628959908.6183, 1.863, 2.142, 1.658, 0.702, 0.506, 2.623, 1.892, 1.558, 4.692, 2.761, 2.72, 1.444, 0.414, 1.119, 0.464, 2.287, 1.355, 2.848, 1.662, 0.51, 14.969, 3.69, 1.457, 1.029, 0.513
1628959908.7443, 1.929, 2.666, 1.717, 0.664, 0.491, 3.711, 2.283, 1.202, 4.47, 2.88, 3.372, 1.724, 0.454, 1.012, 0.433, 3.076, 1.359, 2.665, 1.611, 0.466, 19.428, 4.383, 1.628, 0.989, 0.512
1628959908.8703, 2.035, 3.068, 1.653, 0.597, 0.467, 4.995, 2.7, 1.126, 4.004, 3.083, 3.807, 1.92, 0.536, 0.881, 0.381, 3.702, 1.4, 2.222, 1.427, 0.411, 22.166, 4.687, 1.702, 0.903, 0.489
1628959908.9966, 2.055, 3.186, 1.472, 0.526, 0.438, 6.064, 2.98, 1.35, 3.448, 3.281, 3.917, 1.971, 0.636, 0.749, 0.319, 4.012, 1.409, 1.628, 1.156, 0.357, 22.293, 4.472, 1.659, 0.786, 0.453
1628959909.123, 1.953, 2.98, 1.233, 0.472, 0.411, 6.529, 2.995, 1.789, 2.945, 3.373, 3.688, 1.878, 0.735, 0.635, 0.264, 3.904, 1.353, 1.075, 0.875, 0.314, 19.705, 3.805, 1.523, 0.668, 0.416
