Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1630164205.2798, 8.955, 12.207, 7.825, 4.372, 2.234, 16.753, 4.775, 9.246, 3.45, 3.709, 2.593, 3.041, 2.822, 2.747, 6.833, 2.668, 2.34, 3.176, 3.692, 2.519, 9.526, 12.561, 7.007, 4.788, 2.803
1630164205.4061, 9.155, 9.224, 5.988, 3.928, 2.2, 12, 3.509, 6.96, 3.284, 3.612, 2.457, 3.172, 2.697, 2.498, 5.308, 2.89, 1.848, 3.01, 3.445, 2.452, 8.634, 9.442, 5.67, 4.434, 2.765
1630164205.5323, 13.294, 7.84, 4.132, 3.226, 2.032, 8.278, 2.586, 4.623, 3.099, 3.647, 2.308, 3.28, 2.644, 2.162, 4.13, 3.165, 1.524, 2.902, 2.931, 2.271, 11.743, 8.075, 4.41, 3.713, 2.563
1630164205.658, 23.165, 8.853, 2.735, 2.491, 1.788, 5.91, 2.095, 2.796, 2.97, 3.862, 2.174, 3.343, 2.748, 1.844, 3.559, 3.361, 1.371, 3.042, 2.329, 2.06, 20.406, 9.434, 3.56, 2.875, 2.276
1630164205.7841, 37.939, 11.855, 2.004, 1.903, 1.537, 4.729, 1.955, 1.727, 2.926, 4.226, 2.038, 3.291, 2.984, 1.599, 3.527, 3.358, 1.332, 3.487, 1.811, 1.885, 33.568, 13.088, 3.224, 2.15, 1.992
1630164205.9103, 53.885, 15.534, 1.88, 1.528, 1.338, 4.168, 2.017, 1.335, 2.952, 4.635, 1.853, 3.075, 3.258, 1.431, 3.739, 3.084, 1.368, 4.157, 1.474, 1.769, 47.723, 17.472, 3.309, 1.661, 1.772
1630164206.0368, 65.937, 18.418, 2.281, 1.32, 1.214, 3.692, 2.117, 1.315, 2.995, 4.941, 1.618, 2.721, 3.448, 1.3, 3.889, 2.63, 1.481, 4.891, 1.316, 1.685, 58.032, 20.78, 3.707, 1.396, 1.634
1630164206.1629, 70.954, 19.848, 3.039, 1.207, 1.154, 3.261, 2.21, 1.39, 2.989, 5.021, 1.401, 2.332, 3.458, 1.171, 3.798, 2.207, 1.682, 5.498, 1.274, 1.595, 61.752, 22.098, 4.244, 1.269, 1.561
1630164206.2886, 69.276, 19.866, 3.949, 1.161, 1.143, 3.228, 2.374, 1.465, 2.893, 4.857, 1.435, 2.049, 3.3, 1.05, 3.422, 2.023, 1.954, 5.875, 1.315, 1.496, 59.412, 21.353, 4.72, 1.227, 1.532
1630164206.4148, 62.695, 19.069, 4.766, 1.2, 1.19, 3.843, 2.718, 1.6, 2.712, 4.546, 1.919, 2.035, 3.093, 0.971, 2.86, 2.19, 2.288, 6.021, 1.445, 1.433, 52.82, 19.311, 4.97, 1.264, 1.554
