Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1628605035.6455, 93.19, 36.719, 12.448, 3.754, 3.243, 2.239, 1.691, 2.535, 2.016, 1.519, 3.033, 5.886, 4.76, 2.108, 1.766, 6.113, 13.361, 9.691, 3.565, 2.57, 145.389, 59.278, 18.203, 4.405, 3.75
1628605035.7713, 93.137, 31.299, 10.609, 3.299, 2.966, 2.322, 1.573, 2.325, 1.617, 1.474, 2.708, 4.336, 4.128, 1.903, 1.703, 4.726, 9.711, 8.584, 3.405, 2.449, 139.043, 49.927, 15.944, 3.867, 3.295
1628605035.8972, 92.94, 24.191, 8.147, 3.051, 2.694, 2.478, 1.731, 2.168, 1.327, 1.47, 2.516, 3.136, 3.301, 1.753, 1.629, 3.66, 6.428, 6.883, 3.248, 2.292, 128.751, 37.582, 12.402, 3.519, 2.843
1628605036.0238, 93.131, 17.668, 5.815, 2.923, 2.448, 2.575, 2.123, 2.24, 1.143, 1.491, 2.469, 2.364, 2.59, 1.667, 1.555, 3.075, 4.195, 5.15, 3.079, 2.11, 117.695, 26.233, 8.751, 3.288, 2.466
1628605036.15, 92.106, 13.802, 4.276, 2.788, 2.206, 2.555, 2.617, 2.608, 1.033, 1.532, 2.585, 1.919, 2.183, 1.641, 1.47, 2.95, 3.115, 3.803, 2.865, 1.896, 106.81, 19.193, 6.081, 3.06, 2.166
1628605036.2762, 91.325, 12.847, 3.812, 2.558, 1.936, 2.477, 3.01, 3.185, 0.963, 1.591, 2.897, 1.628, 2.067, 1.654, 1.345, 3.291, 2.773, 2.981, 2.571, 1.636, 100.299, 16.886, 4.944, 2.761, 1.905
1628605036.4018, 92.75, 14.211, 4.361, 2.218, 1.627, 2.351, 3.136, 3.767, 0.903, 1.661, 3.385, 1.414, 2.079, 1.66, 1.167, 4.179, 2.699, 2.554, 2.2, 1.342, 101.085, 18.124, 5.324, 2.373, 1.643
1628605036.5275, 99.336, 16.848, 5.55, 1.853, 1.306, 2.337, 2.955, 4.137, 0.848, 1.732, 3.987, 1.314, 2.037, 1.613, 0.951, 5.552, 2.656, 2.275, 1.796, 1.05, 110.683, 21.089, 6.704, 1.97, 1.371
1628605036.6536, 111.193, 19.506, 6.951, 1.585, 1.029, 2.509, 2.533, 4.174, 0.805, 1.782, 4.552, 1.331, 1.873, 1.49, 0.739, 7.581, 2.556, 2.041, 1.443, 0.808, 127.128, 23.979, 8.469, 1.672, 1.117
1628605036.7798, 124.31, 21.087, 8.149, 1.48, 0.848, 2.773, 1.997, 3.907, 0.79, 1.801, 4.933, 1.426, 1.63, 1.299, 0.577, 10.277, 2.406, 1.891, 1.215, 0.654, 144.564, 25.569, 10.045, 1.552, 0.924
1628605036.9063, 131.901, 20.912, 8.789, 1.525, 0.784, 2.99, 1.488, 3.52, 0.823, 1.797, 4.986, 1.538, 1.417, 1.082, 0.496, 13.568, 2.265, 1.895, 1.179, 0.601, 154.059, 25.23, 10.92, 1.587, 0.817
1628605037.0323, 127.523, 18.77, 8.706, 1.662, 0.81, 3.006, 1.101, 3.236, 0.911, 1.798, 4.652, 1.637, 1.366, 0.905, 0.501, 17.265, 2.228, 2.081, 1.369, 0.63, 148.608, 22.774, 10.847, 1.714, 0.79
1628605037.1582, 108.39, 15.041, 7.965, 1.814, 0.882, 2.726, 0.857, 3.195, 1.044, 1.827, 3.984, 1.704, 1.53, 0.821, 0.565, 20.706, 2.367, 2.392, 1.757, 0.707, 125.579, 18.612, 9.905, 1.874, 0.821
1628605037.2841, 79.653, 10.701, 6.861, 1.926, 0.966, 2.298, 0.725, 3.367, 1.196, 1.888, 3.147, 1.716, 1.848, 0.853, 0.653, 23.138, 2.655, 2.698, 2.244, 0.798, 91.01, 13.733, 8.447, 2.016, 0.891
1628605037.4103, 50.323, 6.911, 5.733, 1.997, 1.054, 1.774, 0.667, 3.574, 1.331, 1.969, 2.335, 1.668, 2.172, 0.994, 0.739, 23.679, 2.971, 2.854, 2.694, 0.881, 55.812, 9.364, 6.893, 2.123, 0.994
1628605037.5365, 30.182, 4.474, 4.836, 2.059, 1.161, 1.338, 0.661, 3.604, 1.422, 2.049, 1.69, 1.578, 2.354, 1.208, 0.812, 21.953, 3.168, 2.757, 2.977, 0.953, 31.124, 6.411, 5.57, 2.193, 1.142
1628605037.6624, 22.048, 3.774, 4.274, 2.154, 1.308, 1.004, 0.68, 3.349, 1.46, 2.112, 1.281, 1.483, 2.32, 1.442, 0.875, 18.154, 3.12, 2.396, 3.016, 1.018, 20.305, 5.295, 4.646, 2.236, 1.347
1628605037.7883, 22.573, 4.535, 4.055, 2.318, 1.507, 0.775, 0.731, 2.849, 1.45, 2.149, 1.067, 1.417, 2.109, 1.64, 0.93, 13.227, 2.811, 1.866, 2.805, 1.085, 19.683, 5.683, 4.173, 2.283, 1.612
1628605037.9144, 25.597, 6.029, 4.148, 2.554, 1.742, 0.656, 0.822, 2.235, 1.407, 2.162, 0.989, 1.4, 1.835, 1.76, 0.98, 8.491, 2.333, 1.336, 2.421, 1.157, 22.456, 6.763, 4.148, 2.375, 1.912
1628605038.0406, 26.913, 7.627, 4.507, 2.805, 1.962, 0.645, 0.929, 1.672, 1.34, 2.153, 1.003, 1.427, 1.619, 1.774, 1.016, 4.989, 1.855, 0.969, 1.987, 1.224, 24.159, 7.944, 4.545, 2.518, 2.193
1628605038.1669, 26.38, 9, 4.993, 2.977, 2.1, 0.726, 1.033, 1.292, 1.255, 2.117, 1.097, 1.5, 1.541, 1.671, 1.025, 3.177, 1.521, 0.838, 1.616, 1.264, 24.575, 8.952, 5.194, 2.663, 2.378
1628605038.293, 24.205, 9.644, 5.418, 2.993, 2.097, 0.833, 1.142, 1.132, 1.16, 2.048, 1.292, 1.619, 1.586, 1.47, 0.996, 2.795, 1.378, 0.889, 1.379, 1.253, 23.518, 9.298, 5.79, 2.733, 2.4
1628605038.4189, 20.916, 9.312, 5.595, 2.825, 1.93, 0.928, 1.259, 1.134, 1.072, 1.953, 1.556, 1.791, 1.654, 1.211, 0.928, 3.117, 1.35, 1.003, 1.283, 1.176, 20.984, 8.748, 6.016, 2.659, 2.228
1628605038.5451, 17.169, 8.09, 5.425, 2.499, 1.628, 0.981, 1.391, 1.198, 1.013, 1.852, 1.808, 2.024, 1.655, 0.948, 0.827, 3.502, 1.333, 1.089, 1.286, 1.037, 17.432, 7.369, 5.695, 2.416, 1.892
1628605038.671, 13.403, 6.365, 4.962, 2.095, 1.261, 0.975, 1.55, 1.257, 1, 1.781, 1.991, 2.284, 1.546, 0.74, 0.714, 3.783, 1.251, 1.109, 1.337, 0.864, 13.447, 5.51, 4.912, 2.049, 1.472
1628605038.7973, 10.075, 4.64, 4.373, 1.716, 0.918, 0.961, 1.726, 1.312, 1.034, 1.762, 2.035, 2.478, 1.358, 0.631, 0.613, 3.895, 1.098, 1.074, 1.401, 0.698, 9.68, 3.676, 3.954, 1.659, 1.073
1628605038.9237, 7.341, 3.313, 3.816, 1.434, 0.678, 0.968, 1.884, 1.377, 1.098, 1.785, 1.964, 2.508, 1.151, 0.62, 0.54, 3.748, 0.914, 1.027, 1.444, 0.582, 6.583, 2.305, 3.121, 1.335, 0.788
1628605039.0495, 5.392, 2.522, 3.37, 1.272, 0.583, 1.03, 1.976, 1.451, 1.17, 1.812, 1.766, 2.331, 0.989, 0.671, 0.506, 3.444, 0.788, 1.022, 1.44, 0.545, 4.494, 1.595, 2.581, 1.116, 0.661
1628605039.1753, 4.43, 2.095, 2.984, 1.214, 0.619, 1.147, 1.963, 1.496, 1.226, 1.797, 1.491, 1.997, 0.905, 0.735, 0.508, 3.049, 0.787, 1.077, 1.39, 0.59, 3.385, 1.406, 2.3, 0.993, 0.676
1628605039.3012, 3.811, 1.783, 2.553, 1.22, 0.727, 1.301, 1.837, 1.471, 1.254, 1.716, 1.207, 1.624, 0.876, 0.777, 0.538, 2.738, 0.949, 1.165, 1.318, 0.695, 2.767, 1.468, 2.095, 0.927, 0.771
1628605039.4276, 4.803, 1.669, 2.072, 1.279, 0.846, 1.465, 1.63, 1.362, 1.269, 1.587, 0.973, 1.34, 0.865, 0.795, 0.584, 2.599, 1.249, 1.244, 1.257, 0.825, 3.87, 1.815, 1.819, 0.907, 0.88
1628605039.554, 10.619, 2.328, 1.756, 1.437, 0.937, 1.679, 1.408, 1.222, 1.312, 1.444, 0.853, 1.228, 0.863, 0.818, 0.637, 2.674, 1.606, 1.26, 1.233, 0.942, 10.559, 3.04, 1.555, 0.98, 0.965
1628605039.6803, 24.648, 4.191, 1.819, 1.754, 0.992, 1.994, 1.222, 1.128, 1.439, 1.325, 0.873, 1.283, 0.875, 0.894, 0.69, 2.903, 1.926, 1.193, 1.252, 1.018, 26.642, 5.6, 1.476, 1.209, 1.016
1628605039.8062, 47.078, 7.126, 2.338, 2.244, 1.019, 2.424, 1.103, 1.148, 1.673, 1.257, 1.032, 1.418, 0.932, 1.06, 0.738, 3.184, 2.113, 1.094, 1.312, 1.041, 52.355, 9.332, 1.712, 1.617, 1.04
1628605039.9319, 73.935, 10.404, 3.217, 2.833, 1.037, 2.912, 1.073, 1.286, 1.981, 1.244, 1.312, 1.543, 1.058, 1.313, 0.779, 3.419, 2.141, 1.066, 1.404, 1.023, 83.007, 13.382, 2.275, 2.141, 1.058
1628605040.0582, 97.787, 12.977, 4.22, 3.382, 1.063, 3.357, 1.125, 1.528, 2.276, 1.276, 1.671, 1.608, 1.273, 1.608, 0.814, 3.598, 2.035, 1.235, 1.513, 0.989, 110.169, 16.472, 3.055, 2.643, 1.087
1628605040.1844, 110.566, 13.949, 5.061, 3.733, 1.103, 3.669, 1.234, 1.82, 2.469, 1.337, 2.037, 1.597, 1.546, 1.868, 0.838, 3.679, 1.859, 1.651, 1.628, 0.967, 124.554, 17.504, 3.839, 2.965, 1.128
1628605040.3103, 107.439, 13.026, 5.496, 3.787, 1.15, 3.828, 1.351, 2.086, 2.494, 1.412, 2.346, 1.537, 1.822, 2.02, 0.845, 3.667, 1.697, 2.247, 1.742, 0.972, 120.839, 16.165, 4.412, 3.009, 1.167
1628605040.4365, 89.664, 10.565, 5.406, 3.553, 1.192, 3.867, 1.418, 2.265, 2.343, 1.489, 2.58, 1.46, 2.025, 2.024, 0.831, 3.503, 1.582, 2.832, 1.856, 0.998, 100.52, 12.948, 4.606, 2.785, 1.187
1628605040.5622, 63.48, 7.425, 4.829, 3.134, 1.219, 3.836, 1.367, 2.318, 2.074, 1.556, 2.747, 1.402, 2.102, 1.889, 0.799, 3.149, 1.511, 3.192, 1.967, 1.028, 70.843, 8.97, 4.361, 2.399, 1.177
1628605040.6885, 38.538, 4.752, 3.974, 2.679, 1.234, 3.767, 1.198, 2.239, 1.783, 1.597, 2.857, 1.413, 2.047, 1.662, 0.757, 2.675, 1.478, 3.206, 2.05, 1.044, 42.973, 5.622, 3.811, 1.99, 1.146
1628605040.8149, 22.992, 3.377, 3.235, 2.302, 1.24, 3.655, 0.954, 2.066, 1.567, 1.607, 2.884, 1.525, 1.911, 1.409, 0.72, 2.202, 1.474, 2.913, 2.063, 1.039, 26.344, 3.955, 3.35, 1.673, 1.107
1628605040.9412, 21.619, 3.697, 2.951, 2.036, 1.234, 3.463, 0.694, 1.854, 1.475, 1.588, 2.797, 1.75, 1.774, 1.19, 0.697, 1.844, 1.485, 2.479, 1.974, 1.015, 26.185, 4.522, 3.373, 1.483, 1.072
1628605041.0672, 34.238, 5.437, 3.24, 1.836, 1.202, 3.164, 0.484, 1.645, 1.486, 1.552, 2.555, 2.044, 1.69, 1.035, 0.693, 1.706, 1.52, 2.109, 1.784, 0.982, 41.799, 7.033, 4.038, 1.38, 1.042
1628605041.1931, 55.402, 7.644, 3.95, 1.628, 1.139, 2.766, 0.365, 1.473, 1.554, 1.513, 2.192, 2.333, 1.655, 0.947, 0.7, 1.895, 1.562, 1.907, 1.524, 0.952, 66.814, 10.306, 5.17, 1.298, 1.015
