Timestamp, AF3/theta, AF3/alpha, AF3/betaL, AF3/betaH, AF3/gamma, T7/theta, T7/alpha, T7/betaL, T7/betaH, T7/gamma, Pz/theta, Pz/alpha, Pz/betaL, Pz/betaH, Pz/gamma, T8/theta, T8/alpha, T8/betaL, T8/betaH, T8/gamma, AF4/theta, AF4/alpha, AF4/betaL, AF4/betaH, AF4/gamma
1630236415.3859, 17.323, 7.043, 1.853, 1.892, 0.968, 30.047, 13.253, 17.558, 3.082, 1.848, 5.744, 2.866, 1.9, 1.342, 0.433, 5.705, 1.473, 1.677, 1.613, 0.494, 36.023, 8.481, 2.109, 2.194, 0.532
1630236415.5125, 17.615, 5.121, 1.806, 1.78, 0.914, 31.171, 19.36, 26.777, 3.692, 2.054, 6.467, 2.51, 2.46, 1.395, 0.436, 6.133, 1.515, 1.526, 1.561, 0.469, 29.829, 4.823, 1.696, 2.015, 0.571
1630236415.6389, 20.692, 3.819, 1.916, 1.657, 0.881, 33.947, 24.731, 34.893, 4.41, 2.344, 7.947, 2.222, 2.88, 1.403, 0.44, 7.069, 1.649, 1.259, 1.406, 0.44, 26.599, 2.645, 1.5, 1.781, 0.636
1630236415.7659, 25.356, 3.289, 2.062, 1.563, 0.891, 40.813, 27.985, 39.372, 5.062, 2.646, 9.987, 1.996, 3.025, 1.38, 0.449, 8.497, 1.817, 0.987, 1.218, 0.416, 26.393, 2.11, 1.474, 1.55, 0.716
1630236415.8928, 30.854, 3.491, 2.148, 1.535, 0.947, 51.343, 28.378, 38.703, 5.462, 2.896, 12.122, 1.778, 2.87, 1.336, 0.463, 10.139, 1.947, 0.828, 1.076, 0.406, 28.809, 3.131, 1.589, 1.378, 0.795
1630236416.0197, 35.275, 4.246, 2.143, 1.594, 1.026, 64.597, 26.42, 33.233, 5.519, 3.062, 13.701, 1.554, 2.512, 1.274, 0.479, 11.529, 1.998, 0.848, 1.026, 0.413, 33.711, 5.403, 1.875, 1.297, 0.852
1630236416.1466, 37.11, 5.334, 2.057, 1.742, 1.095, 78.979, 23.593, 25.033, 5.275, 3.141, 13.995, 1.38, 2.12, 1.19, 0.494, 12.04, 1.988, 1.041, 1.061, 0.432, 39.598, 8.586, 2.323, 1.324, 0.875
1630236416.2735, 36.63, 6.435, 1.954, 1.956, 1.122, 91.472, 21.53, 17.062, 4.896, 3.143, 13.134, 1.314, 1.845, 1.083, 0.503, 11.693, 1.956, 1.354, 1.128, 0.452, 46.497, 12.025, 2.885, 1.456, 0.863
1630236416.4005, 33.884, 7.194, 1.987, 2.201, 1.089, 98.369, 21.419, 11.783, 4.589, 3.083, 11.118, 1.39, 1.764, 0.958, 0.508, 10.426, 1.917, 1.738, 1.163, 0.468, 52.275, 14.698, 3.503, 1.679, 0.832
1630236416.5271, 30.835, 7.431, 2.278, 2.449, 1.009, 96.557, 23.79, 9.842, 4.513, 2.976, 8.883, 1.544, 1.85, 0.831, 0.524, 8.879, 1.849, 2.197, 1.142, 0.477, 56.155, 15.706, 4.114, 1.966, 0.805
